id,numTrees,currentLeaf,currDepth,Val_score,Train_score
1.0,1.0,,,0.95,0.941
2.0,21.0,,,0.978,0.975
3.0,41.0,,,0.977,0.979
4.0,61.0,,,0.981,0.98
5.0,81.0,,,0.983,0.981
6.0,101.0,,,0.98,0.982
7.0,121.0,,,0.981,0.982
8.0,141.0,,,0.979,0.982
9.0,161.0,,,0.979,0.983
10.0,181.0,,,0.979,0.983
11.0,201.0,,,0.98,0.983
12.0,221.0,,,0.982,0.983
13.0,241.0,,,0.981,0.983
14.0,261.0,,,0.982,0.983
15.0,281.0,,,0.981,0.983
16.0,301.0,,,0.981,0.983
17.0,321.0,,,0.98,0.982
18.0,341.0,,,0.982,0.983
19.0,361.0,,,0.983,0.983
20.0,381.0,,,0.981,0.983
21.0,401.0,,,0.98,0.983
22.0,421.0,,,0.981,0.983
23.0,441.0,,,0.98,0.983
24.0,461.0,,,0.981,0.983
25.0,481.0,,,0.981,0.983
