id,numTrees,currenmaxtLeaf,currDepth,Val_score,Train_score,minLeaf,maxFea,minSplit,min_impurity_decrease,warm_start
1,1,2,1,0.644,0.662,1,10,2,0,False
2,1,2,1,0.644,0.662,1,10,2,0,True
3,1,2,1,0.5,0.5,1,10,2,10,False
4,1,2,1,0.5,0.5,1,10,2,10,True
5,1,2,1,0.5,0.5,1,10,2,20,False
6,1,2,1,0.5,0.5,1,10,2,20,True
7,1,2,1,0.644,0.662,1,10,12,0,False
8,1,2,1,0.644,0.662,1,10,12,0,True
9,1,2,1,0.5,0.5,1,10,12,10,False
10,1,2,1,0.5,0.5,1,10,12,10,True
11,1,2,1,0.5,0.5,1,10,12,20,False
12,1,2,1,0.5,0.5,1,10,12,20,True
13,1,2,1,0.644,0.662,1,10,22,0,False
14,1,2,1,0.644,0.662,1,10,22,0,True
15,1,2,1,0.5,0.5,1,10,22,10,False
16,1,2,1,0.5,0.5,1,10,22,10,True
17,1,2,1,0.5,0.5,1,10,22,20,False
18,1,2,1,0.5,0.5,1,10,22,20,True
19,1,2,1,0.644,0.662,1,10,32,0,False
20,1,2,1,0.644,0.662,1,10,32,0,True
21,1,2,1,0.5,0.5,1,10,32,10,False
22,1,2,1,0.5,0.5,1,10,32,10,True
23,1,2,1,0.5,0.5,1,10,32,20,False
24,1,2,1,0.5,0.5,1,10,32,20,True
25,1,2,1,0.791,0.778,1,10,2,0,False
26,1,2,1,0.791,0.778,1,10,2,0,True
27,1,2,1,0.5,0.5,1,10,2,10,False
28,1,2,1,0.5,0.5,1,10,2,10,True
29,1,2,1,0.5,0.5,1,10,2,20,False
30,1,2,1,0.5,0.5,1,10,2,20,True
31,1,2,1,0.791,0.778,1,10,12,0,False
32,1,2,1,0.791,0.778,1,10,12,0,True
33,1,2,1,0.5,0.5,1,10,12,10,False
34,1,2,1,0.5,0.5,1,10,12,10,True
35,1,2,1,0.5,0.5,1,10,12,20,False
36,1,2,1,0.5,0.5,1,10,12,20,True
37,1,2,1,0.791,0.778,1,10,22,0,False
38,1,2,1,0.791,0.778,1,10,22,0,True
39,1,2,1,0.5,0.5,1,10,22,10,False
40,1,2,1,0.5,0.5,1,10,22,10,True
41,1,2,1,0.5,0.5,1,10,22,20,False
42,1,2,1,0.5,0.5,1,10,22,20,True
43,1,2,1,0.791,0.778,1,10,32,0,False
44,1,2,1,0.791,0.778,1,10,32,0,True
45,1,2,1,0.5,0.5,1,10,32,10,False
46,1,2,1,0.5,0.5,1,10,32,10,True
47,1,2,1,0.5,0.5,1,10,32,20,False
48,1,2,1,0.5,0.5,1,10,32,20,True
49,1,2,1,0.791,0.778,1,10,2,0,False
50,1,2,1,0.791,0.778,1,10,2,0,True
51,1,2,1,0.5,0.5,1,10,2,10,False
52,1,2,1,0.5,0.5,1,10,2,10,True
53,1,2,1,0.5,0.5,1,10,2,20,False
54,1,2,1,0.5,0.5,1,10,2,20,True
55,1,2,1,0.791,0.778,1,10,12,0,False
56,1,2,1,0.791,0.778,1,10,12,0,True
57,1,2,1,0.5,0.5,1,10,12,10,False
58,1,2,1,0.5,0.5,1,10,12,10,True
59,1,2,1,0.5,0.5,1,10,12,20,False
60,1,2,1,0.5,0.5,1,10,12,20,True
61,1,2,1,0.791,0.778,1,10,22,0,False
62,1,2,1,0.791,0.778,1,10,22,0,True
63,1,2,1,0.5,0.5,1,10,22,10,False
64,1,2,1,0.5,0.5,1,10,22,10,True
65,1,2,1,0.5,0.5,1,10,22,20,False
66,1,2,1,0.5,0.5,1,10,22,20,True
67,1,2,1,0.791,0.778,1,10,32,0,False
68,1,2,1,0.791,0.778,1,10,32,0,True
69,1,2,1,0.5,0.5,1,10,32,10,False
70,1,2,1,0.5,0.5,1,10,32,10,True
71,1,2,1,0.5,0.5,1,10,32,20,False
72,1,2,1,0.5,0.5,1,10,32,20,True
73,1,2,1,0.644,0.662,11,10,2,0,False
74,1,2,1,0.644,0.662,11,10,2,0,True
75,1,2,1,0.5,0.5,11,10,2,10,False
76,1,2,1,0.5,0.5,11,10,2,10,True
77,1,2,1,0.5,0.5,11,10,2,20,False
78,1,2,1,0.5,0.5,11,10,2,20,True
79,1,2,1,0.644,0.662,11,10,12,0,False
80,1,2,1,0.644,0.662,11,10,12,0,True
81,1,2,1,0.5,0.5,11,10,12,10,False
82,1,2,1,0.5,0.5,11,10,12,10,True
83,1,2,1,0.5,0.5,11,10,12,20,False
84,1,2,1,0.5,0.5,11,10,12,20,True
85,1,2,1,0.644,0.662,11,10,22,0,False
86,1,2,1,0.644,0.662,11,10,22,0,True
87,1,2,1,0.5,0.5,11,10,22,10,False
88,1,2,1,0.5,0.5,11,10,22,10,True
89,1,2,1,0.5,0.5,11,10,22,20,False
90,1,2,1,0.5,0.5,11,10,22,20,True
91,1,2,1,0.644,0.662,11,10,32,0,False
92,1,2,1,0.644,0.662,11,10,32,0,True
93,1,2,1,0.5,0.5,11,10,32,10,False
94,1,2,1,0.5,0.5,11,10,32,10,True
95,1,2,1,0.5,0.5,11,10,32,20,False
96,1,2,1,0.5,0.5,11,10,32,20,True
97,1,2,1,0.791,0.778,11,10,2,0,False
98,1,2,1,0.791,0.778,11,10,2,0,True
99,1,2,1,0.5,0.5,11,10,2,10,False
100,1,2,1,0.5,0.5,11,10,2,10,True
101,1,2,1,0.5,0.5,11,10,2,20,False
102,1,2,1,0.5,0.5,11,10,2,20,True
103,1,2,1,0.791,0.778,11,10,12,0,False
104,1,2,1,0.791,0.778,11,10,12,0,True
105,1,2,1,0.5,0.5,11,10,12,10,False
106,1,2,1,0.5,0.5,11,10,12,10,True
107,1,2,1,0.5,0.5,11,10,12,20,False
108,1,2,1,0.5,0.5,11,10,12,20,True
109,1,2,1,0.791,0.778,11,10,22,0,False
110,1,2,1,0.791,0.778,11,10,22,0,True
111,1,2,1,0.5,0.5,11,10,22,10,False
112,1,2,1,0.5,0.5,11,10,22,10,True
113,1,2,1,0.5,0.5,11,10,22,20,False
114,1,2,1,0.5,0.5,11,10,22,20,True
115,1,2,1,0.791,0.778,11,10,32,0,False
116,1,2,1,0.791,0.778,11,10,32,0,True
117,1,2,1,0.5,0.5,11,10,32,10,False
118,1,2,1,0.5,0.5,11,10,32,10,True
119,1,2,1,0.5,0.5,11,10,32,20,False
120,1,2,1,0.5,0.5,11,10,32,20,True
