id,numTrees,Val_score,Train_score
1.0,1.0,0.934,0.936
2.0,2.0,0.92,0.955
3.0,3.0,0.956,0.976
4.0,4.0,0.963,0.982
5.0,5.0,0.974,0.983
6.0,6.0,0.975,0.983
7.0,7.0,0.974,0.988
8.0,8.0,0.974,0.988
9.0,9.0,0.979,0.989
10.0,10.0,0.978,0.989
11.0,11.0,0.98,0.99
12.0,12.0,0.978,0.993
13.0,13.0,0.978,0.992
14.0,14.0,0.977,0.992
15.0,15.0,0.98,0.992
16.0,16.0,0.98,0.991
17.0,17.0,0.983,0.993
18.0,18.0,0.982,0.992
19.0,19.0,0.984,0.993
20.0,20.0,0.983,0.992
21.0,21.0,0.987,0.993
22.0,22.0,0.986,0.992
23.0,23.0,0.987,0.993
24.0,24.0,0.986,0.993
25.0,25.0,0.987,0.993
26.0,26.0,0.987,0.993
27.0,27.0,0.985,0.993
28.0,28.0,0.989,0.993
29.0,29.0,0.986,0.993
30.0,30.0,0.988,0.993
31.0,31.0,0.987,0.993
32.0,32.0,0.988,0.994
33.0,33.0,0.988,0.994
34.0,34.0,0.988,0.996
35.0,35.0,0.987,0.994
36.0,36.0,0.987,0.994
37.0,37.0,0.987,0.994
38.0,38.0,0.987,0.994
39.0,39.0,0.987,0.993
40.0,40.0,0.987,0.995
41.0,41.0,0.987,0.994
42.0,42.0,0.988,0.994
43.0,43.0,0.987,0.994
44.0,44.0,0.988,0.996
45.0,45.0,0.988,0.995
46.0,46.0,0.988,0.995
47.0,47.0,0.988,0.995
48.0,48.0,0.988,0.995
49.0,49.0,0.988,0.995
50.0,50.0,0.988,0.995
51.0,51.0,0.988,0.995
52.0,52.0,0.988,0.996
53.0,53.0,0.988,0.996
54.0,54.0,0.988,0.996
55.0,55.0,0.988,0.996
56.0,56.0,0.988,0.996
57.0,57.0,0.989,0.996
58.0,58.0,0.988,0.996
59.0,59.0,0.99,0.996
60.0,60.0,0.99,0.996
