id,max_depth,Val_score,Train_score
1.0,1.0,0.791,0.778
2.0,1.0,0.879,0.839
3.0,1.0,0.892,0.878
4.0,1.0,0.92,0.909
5.0,1.0,0.914,0.924
6.0,1.0,0.927,0.938
7.0,1.0,0.915,0.959
8.0,1.0,0.921,0.963
9.0,1.0,0.932,0.968
10.0,1.0,0.926,0.964
11.0,1.0,0.919,0.966
12.0,1.0,0.919,0.966
13.0,1.0,0.919,0.966
14.0,1.0,0.919,0.966
15.0,1.0,0.919,0.966
16.0,1.0,0.919,0.966
17.0,1.0,0.919,0.966
18.0,1.0,0.919,0.966
19.0,1.0,0.919,0.966
20.0,1.0,0.919,0.966
21.0,1.0,0.919,0.966
22.0,1.0,0.919,0.966
23.0,1.0,0.919,0.966
24.0,1.0,0.919,0.966
25.0,1.0,0.919,0.966
26.0,1.0,0.919,0.966
27.0,1.0,0.919,0.966
28.0,1.0,0.919,0.966
29.0,1.0,0.919,0.966
