id,max_depth,Val_score,Train_score,Test_score,train_time(sec),Test_score
1.0,1.0,0.791,0.778,0.731,0.005001,0.731
2.0,2.0,0.879,0.839,0.809,0.003001,0.809
3.0,3.0,0.892,0.878,0.846,0.003,0.846
4.0,4.0,0.92,0.909,0.872,0.003,0.872
5.0,5.0,0.914,0.924,0.878,0.002,0.878
6.0,6.0,0.927,0.938,0.879,0.003,0.879
7.0,7.0,0.915,0.959,0.9,0.004001,0.9
8.0,8.0,0.921,0.963,0.878,0.003001,0.878
9.0,9.0,0.932,0.968,0.891,0.003,0.891
10.0,10.0,0.926,0.964,0.892,0.003001,0.892
11.0,11.0,0.919,0.966,0.88,0.003001,0.88
12.0,12.0,0.919,0.966,0.88,0.004,0.88
13.0,13.0,0.919,0.966,0.88,0.003,0.88
14.0,14.0,0.919,0.966,0.88,0.003,0.88
15.0,15.0,0.919,0.966,0.88,0.003,0.88
16.0,16.0,0.919,0.966,0.88,0.003001,0.88
17.0,17.0,0.919,0.966,0.88,0.003001,0.88
18.0,18.0,0.919,0.966,0.88,0.004002,0.88
19.0,19.0,0.919,0.966,0.88,0.003001,0.88
