id,max_leaf_nodes,Val_score,Train_score,train_time(sec),Test_score
1.0,2.0,0.791,0.778,0.003001,0.731
2.0,3.0,0.879,0.839,0.003,0.809
3.0,4.0,0.88,0.847,0.002,0.808
4.0,5.0,0.889,0.866,0.003,0.845
5.0,6.0,0.897,0.872,0.003,0.842
6.0,7.0,0.897,0.872,0.003001,0.842
7.0,8.0,0.894,0.882,0.003001,0.851
8.0,9.0,0.904,0.894,0.003,0.865
9.0,10.0,0.916,0.906,0.003001,0.884
10.0,11.0,0.921,0.903,0.003001,0.886
11.0,12.0,0.922,0.904,0.003001,0.884
12.0,13.0,0.924,0.904,0.002001,0.885
13.0,14.0,0.923,0.905,0.003001,0.883
14.0,15.0,0.924,0.91,0.002001,0.885
15.0,16.0,0.923,0.913,0.003,0.882
16.0,17.0,0.916,0.92,0.003,0.883
17.0,18.0,0.915,0.925,0.003001,0.883
18.0,19.0,0.919,0.926,0.003001,0.887
19.0,20.0,0.92,0.927,0.003,0.89
20.0,21.0,0.926,0.929,0.003,0.893
21.0,22.0,0.926,0.93,0.003001,0.892
22.0,23.0,0.925,0.931,0.003001,0.894
23.0,24.0,0.927,0.932,0.003,0.899
24.0,25.0,0.927,0.932,0.003001,0.899
25.0,26.0,0.927,0.934,0.003,0.9
26.0,27.0,0.927,0.935,0.003001,0.902
27.0,28.0,0.922,0.928,0.003001,0.891
28.0,29.0,0.927,0.932,0.003,0.902
29.0,30.0,0.923,0.933,0.003001,0.897
30.0,31.0,0.923,0.934,0.003001,0.896
31.0,32.0,0.923,0.934,0.004001,0.896
32.0,33.0,0.923,0.936,0.003,0.897
33.0,34.0,0.923,0.936,0.003,0.897
34.0,35.0,0.923,0.936,0.003001,0.897
35.0,36.0,0.923,0.939,0.003001,0.898
36.0,37.0,0.923,0.939,0.003001,0.898
37.0,38.0,0.923,0.939,0.003,0.898
38.0,39.0,0.923,0.939,0.003,0.898
39.0,40.0,0.923,0.939,0.003,0.898
40.0,41.0,0.923,0.939,0.002992,0.898
41.0,42.0,0.923,0.939,0.003001,0.898
