id,n_estimators,Val_score,Train_score,train_time(sec),Test_score
1.0,1.0,0.961,0.956,0.003001,0.931
2.0,2.0,0.935,0.956,0.005001,0.897
3.0,3.0,0.962,0.983,0.007002,0.933
4.0,4.0,0.967,0.981,0.010002,0.938
5.0,5.0,0.973,0.987,0.013003,0.949
6.0,6.0,0.977,0.985,0.015003,0.963
7.0,7.0,0.978,0.987,0.018005,0.956
8.0,8.0,0.982,0.988,0.020003,0.964
9.0,9.0,0.98,0.988,0.022005,0.963
10.0,10.0,0.983,0.99,0.024005,0.964
11.0,11.0,0.98,0.988,0.027006,0.968
12.0,12.0,0.985,0.99,0.029007,0.971
13.0,13.0,0.987,0.99,0.032007,0.977
14.0,14.0,0.986,0.99,0.037009,0.979
15.0,15.0,0.987,0.988,0.035008,0.978
16.0,16.0,0.987,0.988,0.038008,0.978
17.0,17.0,0.985,0.988,0.039009,0.979
18.0,18.0,0.986,0.989,0.04201,0.979
19.0,19.0,0.986,0.987,0.04401,0.982
