id,numTrees,currentLeaf,currDepth,Val_score,Train_score
1.0,1.0,2.0,1.0,0.791,0.778
2.0,1.0,2.0,11.0,0.791,0.778
3.0,1.0,2.0,21.0,0.791,0.778
4.0,1.0,2.0,31.0,0.791,0.778
5.0,1.0,2.0,41.0,0.791,0.778
6.0,1.0,2.0,51.0,0.791,0.778
7.0,1.0,2.0,61.0,0.791,0.778
8.0,1.0,2.0,71.0,0.791,0.778
9.0,1.0,2.0,81.0,0.791,0.778
10.0,1.0,2.0,91.0,0.791,0.778
11.0,1.0,12.0,1.0,0.791,0.778
12.0,1.0,12.0,11.0,0.922,0.904
13.0,1.0,12.0,21.0,0.922,0.904
14.0,1.0,12.0,31.0,0.922,0.904
15.0,1.0,12.0,41.0,0.922,0.904
16.0,1.0,12.0,51.0,0.922,0.904
17.0,1.0,12.0,61.0,0.922,0.904
18.0,1.0,12.0,71.0,0.922,0.904
19.0,1.0,12.0,81.0,0.922,0.904
20.0,1.0,12.0,91.0,0.922,0.904
21.0,1.0,22.0,1.0,0.791,0.778
22.0,1.0,22.0,11.0,0.93,0.927
23.0,1.0,22.0,21.0,0.93,0.927
24.0,1.0,22.0,31.0,0.93,0.927
25.0,1.0,22.0,41.0,0.93,0.927
26.0,1.0,22.0,51.0,0.93,0.927
27.0,1.0,22.0,61.0,0.93,0.927
28.0,1.0,22.0,71.0,0.93,0.927
29.0,1.0,22.0,81.0,0.93,0.927
30.0,1.0,22.0,91.0,0.93,0.927
31.0,1.0,32.0,1.0,0.791,0.778
32.0,1.0,32.0,11.0,0.934,0.936
33.0,1.0,32.0,21.0,0.934,0.936
34.0,1.0,32.0,31.0,0.934,0.936
35.0,1.0,32.0,41.0,0.934,0.936
36.0,1.0,32.0,51.0,0.934,0.936
37.0,1.0,32.0,61.0,0.934,0.936
38.0,1.0,32.0,71.0,0.934,0.936
39.0,1.0,32.0,81.0,0.934,0.936
40.0,1.0,32.0,91.0,0.934,0.936
41.0,1.0,42.0,1.0,0.791,0.778
42.0,1.0,42.0,11.0,0.933,0.942
